SpeciesName,Flower color,Flower sex,Flowering lag time: number of days from exposition start to flowering,Flowering requirement (requirement for fertility),Fruit type,Plant flowering,Plant growth form,Plant growth temperature range,Plant height,Plant human usage types,Plant lifespan (longevity),Plant lifespan: age trees reach in forested stands,Plant woodiness,Seed germination base temperature,Seed germination base water potential,Seed germination lag time,Seed germination requirement,Seed germination temperature,Seed germination type,Wood growth ring distinction,Any flowering data
A-Citrofortunella microcarpa,,,,,,,Tree,,,,,,,,,,,,,,Remove
A-Citroncirus webberi,,,,,,,Tree,,,,,,,,,,,,,,Remove
A-Hesperotropsis leylandii,,,,,,,Tree,,,,,,,,,,,,,,Remove
A-Sorbaronia alpina,,,,,,,Tree,,,,,,,,,,,,,,Remove
A-Sorbaronia arsenii,,,,,,,Tree,,,,,,,,,,,,,,Remove
A-Sorbaronia fallax,,,,,,,Tree,,,,,,,,,,,,,,Remove
A-Sorbaronia hybrida,,,,,,,Tree,,,,,,,,,,,,,,Remove
A-Sorbaronia jackii,,,,,,,Tree,,,,,,,,,,,,,,Remove
A-Sorbaronia sorbifolia,,,,,,,Tree,,,,,,,,,,,,,,Remove
ACACIA,,,,,,,Tree shrub intermediate,,,,,,,,,,,,,,Remove
AESCULUS HIPPOCASTANUM L.,,,,,,,tree,,,,,,,,,,,,,Diffuse porous,Remove
Aa brevis,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abarema acreana,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abarema adenophora,,,,,,,Tree,,,,,,woody,,,,,,,,Remove
Abarema adenophorum,,,,,,,tree,,,,,,woody,,,,,,,,Remove
Abarema alexandri var. troyana,,,,,,,Tree (T),,,,,,,,,,,,,,Remove
Abarema barbouriana,,,,,,,tree,,,,,,woody,,,,,,,,Remove
Abarema barbouriana (Standl.) Barneby & J.W. Grimes,,,,,,,TREE,,,,,,,,,,,,,,Remove
Abarema callejasii,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abarema campestris,,,,,,,Tree,,,,,,W,,,,,,,,Remove
Abarema cochleata,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abarema cochliacarpos,,,,,,,Tree,,,,,,woody,,,,,,,,Remove
Abarema curvicarpa,,,,,,,tree,,,,,,W,,,,,,,,Remove
Abarema filamentosa,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abarema floribunda,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abarema ganymedea,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abarema idiopoda,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abarema jupunba,,,,,,,Tree,,,,perennial,,woody,,,,,,,,Remove
Abarema jupunba var. jupunba,,,,,,,Tree (T),,,,,,,,,,,,,,Remove
Abarema killipii,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abarema laeta,,,,,,,tree,,,,,,woody,,,,,,,,Remove
Abarema langsdorffii,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abarema langsdorfii,,,,,,,Tree (T),,,,,,,,,,,,,,Remove
Abarema lehmannii,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abarema leucophylla,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abarema macradenia,,,,,,,tree,,,,,,woody,,,,,,,,Remove
Abarema macradenia (Pittier) Barneby & J.W. Grimes,,,,,,,TREE,,,,,,,,,,,,,,Remove
Abarema mataybifolia,,,,,,,Tree,,,,,,woody,,,,,,,,Remove
Abarema micricalyx,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abarema microcalyx,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abarema piresii,,,,,,,Tree,,,,,,woody,,,,,,,,Remove
Abarema racemiflora,,,,,,,Tree,,,,,,woody,,,,,,,,Remove
Abarema sp,,,,,,,Tree,,,,,,woody,,,,,,,,Remove
Abarema zollerana,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abarema zolleriana,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abatia parviflora,,,,,,,tree,,,,,,woody,,,,,,,,Remove
Aberia gardneri,,,,,,,"Tree, Shrub",,,,,,,,,,,,,,Remove
Abiea amabilis,,,,,,,tree,,,,,,,,,,,,,,Remove
Abiea balsamea,,,,,,,tree,,,,,,,,,,,,,,Remove
Abies,,,,,,,tree,,,,,,,,,,,,,,Remove
Abies  faxoniana,,,,,,,tree,,,,,,,,,,,,,,Remove
Abies  magnifica,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abies  magnifica A. Murray bis,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abies  nephrolepis,,,,,,,tree,,,,,,,,,,,,,,Remove
Abies  spectabilis,,,,,,,tree,,,,,,,,,,,,,,Remove
Abies ?shastensis (Lemmon) Lemmon [magnifica ? procera],Brown,,,Low,,,Tree,,,No,Perennial,,,,,,Yes,,,,Keep
Abies NA,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abies alba Miller,,,,,dry,,tree,,,,,,,,,,,,,,Remove
Abies amabilis,,,,,,,tree,,,FALSE,400,,woody,,,,No,,,,Remove
Abies amabilis (Douglas ex Louden) Douglas ex Forbes,Yellow,,,Low,,,Tree,,,No,Perennial,,,,,,Yes,,,,Keep
Abies arizonica,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Abies balsamea,,monoiceous,,,,,tree,2,14,FALSE,200,245,woody,,,,No,,,vesselless,Keep
Abies balsamea (L.) Mill.,Yellow,,,Medium,,,Tree,,,No,Perennial,,Woody,,,,Yes,,,,Keep
Abies balsamea var. balsamea,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abies balsamea var. phanerolepis,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abies balsamifera,,,,,,,tree,,,,,,woody,,,,,,,,Remove
Abies beshanzuensis,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abies bifolia,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abies borisii-regis,,,,,,,Tree,,,FALSE,,,W,,,,,,,,Remove
Abies bornmuelleriana,,,,,,,Tree,,,,,,W,,,,,,,vesselless,Remove
Abies bornmulleriana,,,,,,,tree,,,,,,woody,,,,,,,,Remove
Abies bracteata,,,,,,,tree,,,,,,woody,,,,No,,,,Remove
Abies cephalonica,,,,,,,tree,,,FALSE,150,,W,,,,No,,,,Remove
Abies cephalonica J. W. Loudon,,,,,dry,,tree,,,,,,,,,,,,,,Remove
Abies chayuensis,,,,,,,Tree,,,FALSE,,,,,,,,,,,Remove
Abies chensiensis,,,,,,,Tree,,,FALSE,,,W,,,,No,,,,Remove
Abies cilicica,,,,,,,Tree,,,,,,W,,,,No,,,,Remove
Abies cilicica (Antoine & Kotschy) Carriere,,,,,dry,,tree,,,,,,,,,,,,,,Remove
Abies cilicica (Antoine & Kotschy) Carriere ssp. isaurica Coode & Cullen,,,,,,,tree,,,,,,,,,,,,,,Remove
Abies coahuilensis,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abies concolor,,,,,,,tree,,20,FALSE,300,,woody,,,,No,,,vesselless,Remove
Abies concolor (Gord. & Glend.) Lindl.,,,,,,,tree,,,,,,,,,,,,,,Remove
Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,,,,Medium,,,Tree,,,No,Perennial,,,,,,Yes,,,,Keep
Abies concolor (Gordon & Glend.) Lindl. ex Hildebr.,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abies concolr,,,,,,,tree,,,,,,,,,,,,,,Remove
Abies delavayi,,,,,,,Tree,,,FALSE,,,W,,,,No,,,,Remove
Abies delavayi var.motuoensis,,,,,,,Tree,,,FALSE,,,,,,,,,,,Remove
Abies densa,,,,,,,Tree,,,,,,W,,,,No,,,,Remove
Abies durangensis,,,,,,,Tree,,,,,,W,,,,No,,,,Remove
Abies ernestii,,,,,,,Tree,,,FALSE,,,woody,,,,,,,,Remove
Abies ernestii var. salouenensis,,,,,,,Tree,,,FALSE,,,,,,,,,,,Remove
Abies faberi,,,,,,,Tree,,,FALSE,,,,,,,,,,,Remove
Abies fabri,,,,,,,tree,,,,,,W,,,,,,,,Remove
Abies fargesii,,,,,,,Tree,,,FALSE,,,W,,,,,,,,Remove
Abies faxoniana,,,,,,,tree,,,FALSE,,,W,,,,,,,,Remove
Abies ferreana,,,,,,,Tree,,,FALSE,,,,,,,,,,,Remove
Abies firma,,,,,,,Tree,,,FALSE,,,Woody,,,,,,,,Remove
Abies forrestii,,,,,,,Tree,,,FALSE,,,W,,,,No,,,,Remove
Abies fraseri,,,,,,,tree,,,FALSE,150,,woody,,,,No,,,,Remove
Abies fraseri (Pursh) Poir.,Purple,,,Low,,,Tree,,,No,Perennial,,,,,,Yes,,,,Keep
Abies gamblei,,,,,,,tree,,,,,,woody,,,,,,,,Remove
Abies georgei,,,,,,,Tree,,,FALSE,,,woody,,,,,,,,Remove
Abies grandis,,,,,,,tree,,25,FALSE,300,,woody,,,,partial,,,vesselless,Remove
Abies grandis (Douglas ex D. Don) Lindl.,,,,Medium,,,Tree,,,No,Perennial,,,,,,Yes,,,,Keep
Abies guatemalensis,,,,,,,Tree,,,,,,W,,,,No,,,,Remove
Abies hickelii,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abies holophylla,,,,,,,Tree,,,FALSE,,,W,,,,,,,,Remove
Abies homolepis,,,,,,,Tree,,,FALSE,83.92,,W,,,,No,,,,Remove
Abies kawakami,,,,,,,Tree,,,FALSE,,,,,,,,,,,Remove
Abies kawakamii,,,,,,,Tree,,,,,,W,,,,No,,,,Remove
Abies koreana,,,,,,,Tree,,,FALSE,,,W,,,,,,,,Remove
Abies lasiocarpa,,,,,,,Tree,,,FALSE,250,,woody,,,,No,,,vesselless,Remove
Abies lasiocarpa (Hook.) Nutt.,,,,Medium,,,tree,,,No,Perennial,,,,,,Yes,,,,Keep
Abies lasiocarpa var. arizonica,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abies lasiocarpa var. lasiocarpa,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abies lowiana,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abies magnifica,,,,,,,tree,,,FALSE,300,,woody,,,,No,,,,Remove
Abies magnifica A. Murray,Brown,,,Low,,,Tree,,,No,Perennial,,,,,,Yes,,,,Keep
Abies magnifica A. Murray bis,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abies magnifica var. magnifica,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abies magnifica var. shastensis,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abies mariesii,,,,,,,Tree,,,FALSE,,,W,,,,No,,,,Remove
Abies marocana,,,,,,,tree,,,,,,W,,,,,,,,Remove
Abies nebrodensis,,,,,,,Tree,,,,,,W,,,,,,,,Remove
Abies nephrolepis,,,,,,,tree,,,FALSE,90,,woody,,,,No,,,,Remove
Abies nobilis,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abies nordmanniana,,,,,,,tree,,20,FALSE,500,,W,,,,no,20,,,Remove
Abies nordmanniana (Steven) Spach,,,,,dry,,tree,,,,,,,,,,,,,,Remove
Abies nordmanniana (Steven) Spach ssp. equi-trojani (Boiss.) Coode & Cullen,,,,,,,tree,,,,,,,,,,,,,,Remove
Abies nukiangensis,,,,,,,Tree,,,FALSE,,,,,,,,,,,Remove
Abies numidica,,,,,,,Tree,,,FALSE,,,W,,,,No,,,,Remove
Abies numidica Carriere,,,,,,,tree,,,,,,,,,,,,,,Remove
Abies omorika,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abies pardei,,,,,,,Tree,,,,,,W,,,,,,,,Remove
Abies phanerolepis,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abies pindrow,,,,,,,Tree,,,,,,W,,,,No,,,,Remove
Abies pinsapo,,,,,,,Tree,,,FALSE,250,,W,,,,No,,,vesselless,Remove
Abies pinsapo Boiss.,purple,,,,dry,,tree,,,,,,,,,,,,,,Keep
Abies procera,,,,,,,Tree,,,FALSE,long lived perennial >= 50 yrs.,,woody,,,,none,,,,Remove
Abies procera Rehder,,,,Low,,,Tree,,,No,Perennial,,,,,,Yes,,,,Keep
Abies recurvata,,,,,,,Tree,,,FALSE,,,W,,,,,,,,Remove
Abies religiosa,,,,,,,Tree,,,,,,W,,,,No,,,,Remove
Abies sachalinensis,,,,,,,tree,,,FALSE,245,,Woody,,,,,,,,Remove
Abies shastensis,,,,,,,tree/woody,,,,,,W,,,,,,,,Remove
Abies sibirica,,,,,,,Tree,,,FALSE,,,W,,,,,,,,Remove
Abies sibirica subsp. Sibirica,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abies smithii,,,,,,,Tree,,,FALSE,,,,,,,,,,,Remove
Abies sp,,,,,,,tree,,,,,,woody,,,,,,,,Remove
Abies sp1,,,,,,,tree,,,,,,,,,,,,,,Remove
Abies spectabilis,,,,,,,tree,,,FALSE,,,W,,,,,,,,Remove
Abies squamata,,,,,,,Tree,,,FALSE,,,W,,,,,,,,Remove
Abies subalpina,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abies veitchii,,,,,,,tree,,,FALSE,,,W,,,,No,,,,Remove
Abies vejarii,,,,,,,Tree,,,,,,W,,,,,,,,Remove
Abies venusta,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abies yuanbaoshanensis,,,,,,,Tree,,,FALSE,,,,,,,,,,,Remove
Abies ziyuanensis,,,,,,,Tree,,,FALSE,,,,,,,No,,,,Remove
Abies_borisii,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abiu,,,,,,,tree,,,,,,,,,,,,,,Remove
Abiu caramuri,,,,,,,tree,,,,,,woody,,,,,,,,Remove
Abiu sp,,,,,,,tree,,,,,,woody,,,,,,,,Remove
Abolboda americana,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abrahamia ditimena,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abrahamia sericea,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abrahamia viguieri,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abutilon haenkeanum,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abutilon striatum,,,,,,,Tree,,,,,,,,,,,,,,Remove
Abutilon virginianum,,,,,,,Tree,,,,,,,,,,,,,,Remove
Acacia 15 spec.,,,,,,,tree,,,,,,,,,,,,,,Remove
Acacia abyssinica,,,,,,,tree,,,,,,woody,,,,,,,,Remove
Acacia acatlensis,,,,,,,Tree,,,,,,woody,,,,,,,,Remove
Acacia acrionastes,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia acuifera,,,,,,,Tree,,,,,,woody,,,,,,,,Remove
Acacia adansonii,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia albicorticata,,,,,,,tree/woody,,,,,,W,,,,,,,,Remove
Acacia albida,,,,,,,tree,,,,,,W,,,,,,,,Remove
Acacia alleniana,,,,,,,tree/woody,,,,,,W,,,,,,,,Remove
Acacia allenii,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia amabilis,,,,,,,Tree,,,,,,woody,,,,,,,,Remove
Acacia ammobia,,,,,,,tree,,,,,,woody,,,,,,,,Remove
Acacia amoena,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia ampliceps Maslin,,,,,,,Tree,,,,,,,,,,,,,,Remove
Acacia amythethophylla,,,,,,,tree/woody,,,,,,W,,,,,,,,Remove
Acacia ancistrocarpa,,,,,,,tree/woody,,,,,,W,,,,,,,,Remove
Acacia anegadensis,,,,,,,Tree,,,,,,woody,,,,,,,,Remove
Acacia aneura,,,,,,,Tree,,,,perennial > 20 years,,woody,,,,long dormancy,,,,Remove
Acacia anfractuosa,,,,,,,tree/woody,,,,,,W,,,,,,,,Remove
Acacia angustifolia,,,,,,,Tree,,,,,,,,,,,,,,Remove
Acacia angustissima,,,,,,,tree,,,,,,woody,,,,,,,,Remove
Acacia argyrophylla,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia armata,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia aroma,,,,,,,tree,,,,,,woody,,,,,,,,Remove
Acacia articulata,,,,,,,Tree,,,,,,,,,,,,,,Remove
Acacia ascendens,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia aspera,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia assimilis,,,,,,,tree/woody,,,,,,W,,,,,,,,Remove
Acacia atkinsiana,,,,,,,tree/woody,,,,,,W,,,,,,,,Remove
Acacia atramentaria,,,,,,,Tree,,,,,,W,,,,,,,,Remove
Acacia aulacocarpa,,,,,,,tree,,,,,,W,,,,,,,,Remove
Acacia auriculaeformis,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia auriculata,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia auriculiformis,,,,,,,Tree,,,,,,woody,,,,,,,,Remove
Acacia auriculiformis A.Cunn. ex Benth.,,,,,,,tree,,,,,,,,,,,,,,Remove
Acacia ausfeldii,,,,,,,tree/woody,,,,,,W,,,,,,,,Remove
Acacia bakeri,,,,,,,tree,,,,,,woody,,,,,,,,Remove
Acacia baueri,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia beauverdiana,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia bellula,,,,,,,tree,,,,,,woody,,,,,,,,Remove
Acacia betchei,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia bidwillii,,,,,,,tree/woody,,,,,,W,,,,,,,,Remove
Acacia bifaria,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia binervata,,,,,,,tree / shrub,,,,>50,,W,,,,,,,,Remove
Acacia binervia,,,,,,,Tree,,,,,,W,,,,,,,diffuse,Remove
Acacia bivenosa,,,,,,,tree/woody,,,,,,W,,,,,,,,Remove
Acacia blakei,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia blakelyi,,,,,,,tree/woody,,,,,,W,,,,,,,,Remove
Acacia blayana,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia boliviana,,,,,,,Tree,,,,,,W,,,,,,,,Remove
Acacia bonariensis,,,,,,,tree,,,,,,W,,,,,,,,Remove
Acacia boormanii,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia botrydion,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia brachystachya,,,,,,,tree,,,,perennial > 20 years,,woody,,,,long dormancy,,,,Remove
Acacia brassii,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia brevispica,,,,,,,tree,,,,,,woody,,,,,,,,Remove
Acacia browniana,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia brumalis,,,,,,,tree/woody,,,,,,W,,,,,,,,Remove
Acacia burbidgeae,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia burkei,,,,,,,tree,,,,,,W,,,,,,,,Remove
Acacia burkittii,,,,,,,tree / shrub,,,,perennial,,woody,,,,,,,,Remove
Acacia bussei,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia buxifolia,,,,,,,Tree,,,,,,woody,,,,,,,,Remove
Acacia caerulescens,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia caffra1,,,,,,,Tree,,,,,,,,,,,,,,Remove
Acacia calamifolia,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia calcicola,,,,,,,tree/woody,,,,,,W,,,,,,,,Remove
Acacia cambagei,,,,,,,tree,,,,perennial > 20 years,,woody,,,,all seed immediately viable,,,,Remove
Acacia cardiophylla,,,,,,,Tree,,,,,,W,,,,,,,,Remove
Acacia catechu,,,,,,,tree,,,,,,W,,,,,,,,Remove
Acacia catenulata,,,,,,,tree,,,,,,woody,,,,,,,,Remove
Acacia caven,,,,,,,tree,,,,,,woody,,,,,,,,Remove
Acacia celsa,,,,,,,tree,,,,,,woody,,,,,,,,Remove
Acacia centralis,,,,,,,Tree,,,,,,,,,,,,,,Remove
Acacia chalkeri,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia chapmanii,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia cheelii,,,,,,,tree,,,,,,woody,,,,,,,,Remove
Acacia chiapensis,,,,,,,Tree,,,,,,,,,,,,,,Remove
Acacia chisholmii,,,,,,,tree/woody,,,,,,W,,,,,,,,Remove
Acacia chrysotricha,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia chundra,,,,,,,tree/woody,,,,,,W,,,,,,,,Remove
Acacia cincinnata,,,,,,,tree/woody,,,,,,W,,,,,,,,Remove
Acacia citrinoviridis,,,,,,,tree/woody,,,,,,W,,,,,,,,Remove
Acacia clandullensis,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia clydonophora,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia cochliacantha,,,,,,,tree/woody,,,,,,W,,,,,,,,Remove
Acacia cognata,,,,,,,tree / shrub,,,,perennial,,W,,,,,,,,Remove
Acacia colei,,,,,,,tree,,,,perennial,,W,,,,,,,,Remove
Acacia collinsi,,,,,,,Tree,,,,,,,,,,,,,,Remove
Acacia compacta,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia complanata,,,,,,,tree/woody,,,,,,W,,,,,,,,Remove
Acacia concurrens,,,,,,,tree,,,,,,W,,,,,,,,Remove
Acacia conferta,,,,,,,tree/woody,,,,,,W,,,,,,,,Remove
Acacia confusa,,,,,,,Tree,,,,perennial,,W,,,,,,,,Remove
Acacia congesta,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia constablei,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia constricta,,,,,,,tree,,,,72,,woody,,,,,,,diffuse-porous,Remove
Acacia constricta Benth.,Yellow,,,Low,,,"Tree, Shrub",,,No,Perennial,,,,,,No,,,,Keep
Acacia constricta var. constricta,,,,,,,"Tree, Shrub",,,,,,,,,,,,,,Remove
Acacia constricta var. paucispina,,,,,,,"Tree, Shrub",,,,,,,,,,,,,,Remove
Acacia continua,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia cookii,,,,,,,Tree,,,,,,,,,,,,,,Remove
Acacia coolgardiensis,,,,,,,tree/woody,,,,,,W,,,,,,,,Remove
Acacia coriacea,,,,,,,Tree,,,,,,woody,,,,,,,,Remove
Acacia cornigera,,,,,,,tree,,,,,,woody,,,,,,,,Remove
Acacia coulteri,,,,,,,Tree,,,,,,woody,,,,,,,,Remove
Acacia courtii,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia cowleana,,,,,,,tree/woody,,,,,,W,,,,,,,,Remove
Acacia craspedocarpa,,,,,,,tree/woody,,,,,,W,,,,,,,,Remove
Acacia crassicarpa,,,,,,,tree/woody,,,,,,W,,,,,,,,Remove
Acacia crassiuscula,,,,,,,Tree,,,,,,woody,,,,,,,,Remove
Acacia cunninghamii,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia curranii,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia curvifructa,,,,,,,Tree,,,,,,,,,,,,,,Remove
Acacia cymbispina,,,,,,,Tree,,,,,,,,,,,,,,Remove
Acacia cyperophylla,,,,,,,tree/woody,,,,,,W,,,,,,,,Remove
Acacia dallachiana,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia davyi,,,,,,,tree,,,,,,W,,,,,,,,Remove
Acacia dawsonii,,,,,,,tree/woody,,,,,,W,,,,,,,,Remove
Acacia deabalata Link,,,,,,,Tree,,,,,,,,,,,,,,Remove
Acacia dealbata,,,,,,,tree / shrub,,,,120,,woody,,,,,,,2,Remove
Acacia deanei,,,,,,,tree,,,,,,woody,,,,,,,,Remove
Acacia deanei ssp_paucijuga,,,,,,,tree,,,,,,woody,,,,,,,,Remove
Acacia deanei subsp. paucijuga,,,,,,,Tree,,,,,,woody,,,,,,,,Remove
Acacia decurrens,,,,,,,tree,,,,50,,W,,,,,,,,Remove
Acacia deficiens,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia desmondii,,,,,,,tree,,,,,,woody,,,,,,,,Remove
Acacia dictyoneura,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia dictyophleba,,,,,,,tree/woody,,,,,,W,,,,,,,,Remove
Acacia difficilis,,,,,,,tree/woody,,,,,,W,,,,,,,,Remove
Acacia difformis,,,,,,,tree/woody,,,,,,W,,,,,,,,Remove
Acacia dimidiata,,,,,,,Tree,,,,,,W,,,,,,,,Remove
Acacia discolor,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia disparrima,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia disticha,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia dodonaeifolia,,,,,,,tree/woody,,,,,,W,,,,,,,,Remove
Acacia dolichostachya,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia drepanolobium,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
Acacia drepanophylla,,,,,,,tree/woody,,,,,,woody,,,,,,,,Remove
